firstname,lastname,pesel,bloodgroup,bloodfactor,quantityofblood,date,place
Decca,Hartmann,48419445184,AB,RH+,674,16/1/2019,51558 Corben Plaza
Imelda,Beasley,56615592744,AB,RH+,784,18/6/2018,3 Prairie Rose Place
Christin,Ravillas,79399284471,A,RH+,756,21/2/2018,60984 Northfield Avenue
Elysee,Brazener,00136049425,0,RH-,682,27/3/2019,772 Redwing Lane
Albertine,Ferie,46682265457,AB,RH-,362,3/9/2018,9 Magdeline Terrace
Celle,Grinyakin,26396426840,AB,RH+,273,1/10/2018,77454 Nova Center
Burke,Ripping,70325225689,AB,RH+,533,17/12/2018,5 Graceland Place
Heath,O'Connolly,26791321517,B,RH+,984,18/8/2018,7353 Lakewood Parkway
Myles,Smethurst,96381307041,AB,RH-,594,2/4/2019,8 Kingsford Circle
Terrel,Kildahl,61607809479,B,RH-,443,14/9/2018,0753 Dennis Plaza
Micaela,Amburgy,85180904113,AB,RH-,737,9/12/2018,1 Packers Circle
Jacinta,Siegertsz,06735727633,0,RH-,978,27/3/2018,8 Kensington Place
Yuri,Grinaugh,82826619262,AB,RH+,250,26/2/2018,987 Mallard Junction
Benyamin,Graser,76666009058,B,RH-,673,6/1/2018,12957 Jackson Pass
Jodie,Tesseyman,08541725204,0,RH-,434,15/2/2019,2341 Summerview Pass
Danell,Brandts,38503517335,A,RH+,937,24/3/2018,89 Sugar Trail
Blinni,MacCole,30475868816,B,RH+,992,16/2/2018,71 Springs Terrace
Juli,Phillot,23566783456,B,RH-,202,24/11/2018,88113 Warbler Pass
Cynthia,Grocock,19847755825,AB,RH+,844,18/3/2019,400 Red Cloud Place
Basil,Romney,01038084893,AB,RH+,646,19/1/2019,041 Leroy Circle
Percy,Still,57752902140,0,RH+,889,9/6/2018,989 Becker Place
Lexis,Desaur,09799873832,AB,RH+,938,14/8/2018,75291 Aberg Crossing
Leonelle,Seakin,12714425946,0,RH-,332,12/8/2018,71087 Prairieview Place
Lucille,Thieme,08358029852,B,RH-,258,14/11/2018,4 Pine View Road
Hatti,Pinfold,97102895524,AB,RH-,664,22/4/2019,92317 Red Cloud Road
Lonny,Cristofori,19531632402,B,RH-,912,19/4/2019,12696 Ridge Oak Hill
Yardley,Victoria,98307834728,B,RH+,428,31/5/2018,6 Old Shore Hill
Lesya,Skurray,77242232324,B,RH+,870,1/8/2018,86 Fairfield Drive
Terry,Sowersby,28513112291,AB,RH+,375,13/1/2018,0023 Johnson Terrace
Frazier,Asche,82259289939,0,RH+,933,14/12/2018,724 Anthes Way
Vachel,Roubottom,41598911115,AB,RH+,220,10/9/2018,82353 7th Place
Nicolai,Croisier,66929435903,AB,RH+,212,16/12/2018,80 Mayfield Center
Robyn,Ferriman,43368752302,AB,RH-,986,30/7/2018,57239 Ramsey Pass
Agnola,Rigler,37684833778,B,RH-,894,23/2/2018,18 Grayhawk Parkway
Keen,Impy,64585318427,AB,RH+,236,7/2/2019,3169 Cardinal Place
Morgun,Forsdyke,22781734816,AB,RH-,485,26/9/2018,39 Steensland Place
Sonnie,Talkington,16413040331,AB,RH-,361,13/2/2018,07 Glacier Hill Point
Agnesse,Teodoro,08240611277,A,RH+,811,10/4/2018,304 Fremont Trail
Elka,Atger,45631452009,AB,RH+,217,23/5/2018,6 Rowland Trail
Penelope,Bachmann,85237221193,AB,RH-,830,26/4/2018,9996 Pankratz Junction
Cash,Lovstrom,42428950359,B,RH-,205,24/3/2018,2250 Schlimgen Drive
Nickola,Findley,94737415900,A,RH+,268,31/7/2018,6231 Vidon Street
Reg,Mompesson,07835666082,0,RH+,741,2/2/2019,50387 Hollow Ridge Park
Latisha,Simo,70741302305,A,RH+,346,1/4/2018,30 Hanover Plaza
Georges,Wiggin,64693756824,0,RH-,829,27/3/2018,94 Gulseth Junction
Andree,Fluck,79079634236,AB,RH-,524,30/12/2018,6215 Hoffman Circle
Joyann,Desport,45875423004,AB,RH-,880,27/7/2018,1 Donald Junction
Cher,Leither,90929819499,AB,RH-,680,5/2/2019,45 Eagan Way
Sadye,Silman,95516682043,AB,RH+,842,6/11/2018,62 Dorton Hill
Mela,Rebert,29776169045,AB,RH+,863,19/3/2019,0287 Morningstar Park
Ciro,Vinton,47866788488,A,RH+,895,8/3/2019,95590 Main Park
Lizette,Fortnam,09800962692,B,RH+,229,22/12/2018,58830 Heffernan Way
Pen,Pitford,72471949456,AB,RH+,996,15/1/2019,5 Clove Lane
Mari,Markey,54854125826,AB,RH+,338,11/11/2018,36 Marquette Point
Cissy,Norquoy,79245227950,A,RH-,812,4/1/2018,087 Cottonwood Center
Arleta,Rosenzwig,51971685741,AB,RH+,259,1/4/2018,8 Packers Court
Connor,Essberger,73665665817,A,RH+,936,5/12/2018,6 Meadow Vale Way
Ronnie,Hawlgarth,41113150772,B,RH+,304,25/4/2018,79965 Miller Road
Maybelle,Fuentes,56739057908,A,RH+,827,3/8/2018,4918 Hayes Pass
Letta,Koop,06988191402,A,RH-,747,13/2/2018,02 Moulton Place
Tera,Corney,82078174098,0,RH-,495,29/12/2018,8 Dayton Place
Somerset,Hards,22465458039,AB,RH+,800,12/4/2018,095 Tomscot Terrace
Star,McKeag,88361250369,AB,RH-,556,5/3/2019,21510 Susan Plaza
Merrie,Climo,72301498255,AB,RH-,548,27/5/2018,7 Morningstar Avenue
Ernestus,Sawle,15534726348,B,RH-,470,3/3/2018,7848 Londonderry Drive
Lucien,Anthonies,63299917936,B,RH+,229,7/3/2018,62964 Hagan Hill
Ludvig,Bleyman,36645304718,AB,RH+,607,17/4/2018,33 Pierstorff Court
Lauritz,Letcher,43320987775,B,RH+,878,8/1/2018,229 Talmadge Terrace
Roda,Fanshaw,18262602598,A,RH-,451,20/7/2018,22814 Waxwing Road
Aura,Duffet,30434867445,AB,RH+,361,28/5/2018,1157 Bartillon Way
Otto,Pellington,45978512576,0,RH+,563,12/3/2019,8280 Fairfield Alley
Kinna,Raddish,87480845975,AB,RH+,498,24/7/2018,380 Fairfield Pass
Debera,Harnett,40331796759,AB,RH-,403,26/6/2018,6 Scofield Court
Gert,Stobbart,80524863589,0,RH+,630,24/2/2018,8631 Kim Terrace
Sela,Barles,70088112375,AB,RH+,236,17/9/2018,74 Lake View Crossing
Esteban,Penhalewick,28483892394,AB,RH+,863,14/4/2019,22 Carberry Point
Aubry,Antognetti,25998541385,A,RH+,772,30/4/2018,777 South Place
Merry,Kolushev,35400483893,AB,RH-,209,20/1/2019,3369 Clove Parkway
Nadya,Blaasch,62199644185,0,RH-,750,19/5/2018,8443 Kipling Avenue
Lucais,Doram,74574449941,AB,RH+,756,26/1/2018,7304 Stoughton Junction
Phedra,Longland,62769502350,AB,RH-,488,1/2/2019,4126 Schmedeman Junction
Deane,Yakob,23207041527,B,RH+,995,2/1/2018,53 Vidon Way
Rea,Nowlan,30739430506,0,RH-,968,10/2/2018,79189 Hanover Avenue
Marion,Harnell,90304298582,AB,RH+,962,21/3/2019,53 Stoughton Junction
Emelina,Wakelin,67769441804,AB,RH+,209,11/3/2019,0 Lyons Pass
Randi,Woodall,49569304827,B,RH-,724,17/9/2018,6 Gale Road
Berna,Algy,99456368822,AB,RH+,457,18/6/2018,78647 Ilene Plaza
Ellerey,Govern,10997281392,0,RH-,315,16/3/2019,96315 Sage Street
Anastasia,Baumber,70100353220,AB,RH+,898,15/9/2018,03260 Melvin Park
Averell,Chazerand,44194474979,B,RH+,761,21/3/2018,46840 Grayhawk Trail
Loralee,Buchan,80359616475,A,RH+,243,25/5/2018,70 Barnett Plaza
Hubert,Ourry,69788434115,AB,RH-,388,25/6/2018,6347 Pepper Wood Lane
Clifford,Ogelbe,56375690749,AB,RH-,263,28/4/2018,39 Esker Way
Lenee,Hanhardt,11814969686,AB,RH-,658,11/2/2018,23546 Graceland Trail
Georg,Sandall,05694967556,AB,RH+,875,7/12/2018,4 Oneill Avenue
Eben,Dunnion,86589109659,B,RH-,741,25/3/2018,8 Meadow Ridge Parkway
Sherman,Ovendon,62654595903,AB,RH+,352,21/1/2019,2158 Northport Pass
